#name              kp       xarc       yarc   xerr   yerr         vx         vy     vxerr     vyerr         t0   use      r2d
S078_20_1.6      19.5    0.41544   -1.52690    0.0    0.0     7.2324     3.9242    0.1236    0.1481   2016.311     8    1.582
S077_20_2.2      19.5    1.53410    1.62223    0.0    0.0     2.2517     3.3179    0.1058    0.2334   2016.383     8    2.233
S082_20_2.7      19.6    2.70705    0.03470    0.0    0.0     0.6988    -1.9530    0.2458    0.2564   2016.138     0    2.707
S089_20_3.2      19.5   -1.91571   -2.54558    0.0    0.0     0.8016     4.7043    0.1909    0.1578   2016.375     0    3.186
S073_20_3.6      19.6    3.59409    0.04226    0.0    0.0     0.7775     0.4980    0.2359    0.3350   2016.111     0    3.594
S091_20_3.8      19.6   -2.86986    2.43270    0.0    0.0     3.4360    -4.1938    0.2362    0.2377   2015.982     0    3.762
S087_20_2.3      19.7    1.66615    1.52299    0.0    0.0    -1.2656     3.7956    0.1397    0.1531   2015.874     8    2.257
S085_20_1.0      19.5    0.22366    0.96336    0.0    0.0     1.6209     3.2307    0.3214    0.2659   2016.187     8    0.989
S092_20_1.6      19.7   -1.47195    0.57326    0.0    0.0    -1.5552    -3.9664    0.1677    0.2413   2015.893     8    1.580
S086_20_3.0      19.6    1.94819    2.27426    0.0    0.0    -0.0735    -2.9829    0.1691    0.2806   2016.048     8    2.995
S090_20_1.9      19.7    1.93417    0.00628    0.0    0.0    -0.3705    -0.2346    0.2871    0.2340   2016.005     8    1.934
S093_20_1.3      19.8   -0.16466    1.30631    0.0    0.0    -3.2116    -6.6437    0.2098    0.1884   2016.112     8    1.317
S095_20_3.6      19.9   -2.78721   -2.23407    0.0    0.0    -1.3059    -3.3183    0.2273    0.1267   2016.492     0    3.572
S098_20_2.5      20.0   -1.80331   -1.76140    0.0    0.0    -1.7360    -3.5548    0.2787    0.2529   2015.925     8    2.521
S096_20_1.9      19.9   -1.82144   -0.38679    0.0    0.0     4.1576     0.4494    0.2292    0.2806   2016.374     8    1.862
S001_20_3.5      19.9    2.12312    2.73200    0.0    0.0    -0.4761    -1.4517    0.2482    0.3829   2015.937     0    3.460
S094_20_3.6      19.8   -3.56400    0.77004    0.0    0.0     5.4774    -2.4754    0.3686    0.4769   2016.309     0    3.646
